Name,Sale Price,Category,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Rating
Kris Longknife: Redoubtable,$8.76,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,http://www.walmart.com/ip/14046476,"Shepherd, Mike",1019562,328,Berkley Pub Group,English,6.75 x 4.25 x 1.00 Inches,
"SINNER: A RIZZOLI&ISLES NOVEL, THE",$9.85,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",http://www.walmart.com/ip/46850622,"GERRITSEN, TESS",1887396,432,Random House,English,7.75 x 4.25 x 1.25 Inches,
Starship Troopers,$13.60,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,http://www.walmart.com/ip/4289276,Robert A. Heinlein,1014103,288,AcePenguin Publishing Group,English,,
I Am Not a Serial Killer,$9.79,Books > Literature & Fiction > Fiction > Horror,http://www.walmart.com/ip/13339663,Dan Wells,5327829,272,Tom Doherty AssociatesTor Books,English,8.23 x 140.21 x 0.76 Inches (US),
The Heat Islands,$8.24,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 30914 >  > in > Books > # > 394 >  > in > Books > Mystery & Suspense > # > 74 >  > in > Books > Mystery & Suspense > General",http://www.walmart.com/ip/473993,Randy Wayne White,2929777,320,St. Martin's PressSt. Martin's Paperbacks,English,174.50 x 4.26 x 21.84 Millimeters,
Playing Dead,$7.35,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 37734 >  > in > Books > # > 57 >  > in > Books > New Releases > # > 54 >  > in > Books > New Releases > New & Noteworthy,http://www.walmart.com/ip/8808717,"Brennan, Allison",550273X,472,Random House,English,6.75 x 4.25 x 1.00 Inches,
Joust : Joust #1,$7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,http://www.walmart.com/ip/2456129,Mercedes Lackey,6401536,448,DAW,English,6.65 x 4.24 x 1.19 Inches (US),
The Grapes of Wrath,$10.15,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 2480 >  > in > Books > # > 184 >  > in > Books > Literature & Fiction > # > 13 >  > in > Books > Literature & Fiction > Classics,http://www.walmart.com/ip/4229029,John Steinbeck,3039439,528,Penguin ClassicsPenguin Publishing Group,English,,4.5
A Shiver of Light,$7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary > Best seller ranking: > # > 6878 >  > in > Books > # > 609 >  > in > Books > Literature & Fiction > # > 49 >  > in > Books > Literature & Fiction > Fantasy,http://www.walmart.com/ip/43379615,"Hamilton, Laurell K.",5155480,400,Berkley Pub Group,English,7.00 x 4.25 x 1.25 Inches,
"SLEEPWALKER: A NOVEL, THE",$12.83,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological",http://www.walmart.com/ip/55970602,"BOHJALIAN, CHRIS",0804170991,304,Random House Inc,English,8.00 x 5.25 x 0.50 Inches,
WALLBANGER,$12.60,Books > Literature & Fiction > Fiction > Romance > Contemporary,http://www.walmart.com/ip/23729899,Alice Clayton,6741181,384,Gallery Books,English,8.25 x 5.31 x 1.20 Inches (US),
The Queen of Swords,$7.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,http://www.walmart.com/ip/55481660,R. S. Belcher,5390094,368,Tom Doherty AssociatesTor Books,English,239.27 x 6.47 x 1.25 Millimeters,
UNLUCKY 13,$8.83,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 12201 >  > in > Books > # > 116 >  > in > Books > Mystery & Suspense > # > 41 >  > in > Books > Mystery & Suspense > Women Sleuths",http://www.walmart.com/ip/44516319,James PattersonMaxine Paetro,145551599X,400,VisionGrand Central Publishing,English,6.88 x 4.25 x 1.12 Inches (US),
Gray Mountain,$8.54,Books > Literature & Fiction > Fiction > Legal > Best seller ranking: > # > 1432 >  > in > Books > # > 91 >  > in > Books > Literature & Fiction > # > 12 >  > in > Books > Literature & Fiction > Mystery & Suspense,http://www.walmart.com/ip/45969601,"Grisham, John",0345543254,461,Random House,English,,4.5
Warbreaker,$26.16,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,http://www.walmart.com/ip/10819411,Brandon Sanderson,532030X,592,Tom Doherty AssociatesTor Books,English,9.47 x 6.46 x 46.61 Inches (US),
The Cutting,$11.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",http://www.walmart.com/ip/38189556,"Hayman, James",2362991,442,HarperCollins,English,8.25 x 5.50 x 1.25 Inches,
The Walt Longmire Mystery Series Boxed Set Volumes 1-4,$41.81,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 2742 >  > in > Books > # > 209 >  > in > Books > Literature & Fiction > # > 29 >  > in > Books > Literature & Fiction > Mystery & Suspense",http://www.walmart.com/ip/21671321,Craig Johnson,7508775,,Penguin BooksPenguin Publishing Group,English,7.14 x 5.20 x 2.90 Inches (US),4
Things Fall Apart,$7.96,Books > Literature & Fiction > Fiction > Classics,http://www.walmart.com/ip/39388164,"Achebe, Chinua",8087888472,114,Lightning Source Inc,English,9.75 x 7.50 x 0.25 Inches,
Cross Kill: An Alex Cross Story,$5.63,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime > Best seller ranking: > # > 5346 >  > in > Books > # > 262 >  > in > Books > ARCHIVE > # > 69 >  > in > Books > ARCHIVE > Books Misc",http://www.walmart.com/ip/50986960,James Patterson,0316317144,144,"BookShotsLittle, Brown and Company",English,,4.6667
