Name,Sale Price,Category,Availability,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Gwendy's Button Box: A Novella Paperback – October 31, 2017",$11.59,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1501188291,Stephen KingRichard Chizmar,1501188291,176 pages,"Gallery Books; Reprint edition (October 31, 2017)",English,5.3 x 0.4 x 8.2 inches,5 ounces,4.3 out of 5 stars
"The Dark Tower IV: Wizard and Glass Mass Market Paperback – December 27, 2016",$8.99,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1501161830,Stephen King,1501161830,1040 pages,"Pocket Books; Reissue edition (December 27, 2016)",English,4.1 x 1.9 x 7.5 inches,1 pounds,4.3 out of 5 stars
"The Medical Examiner: A Women's Murder Club Story (BookShots) Paperback – August 1, 2017",$4.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0316504823,James PattersonMaxine Paetro,0316504823,144 pages,"BookShots (August 1, 2017)",English,5 x 0.4 x 7 inches,5 ounces,4.1 out of 5 stars
"The Language of Flowers: A Novel Paperback – April 3, 2012",$11.06,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0345525558,Vanessa Diffenbaugh,0345525558,334 pages,"Ballantine Books; Reprint edition (April 3, 2012)",English,5.2 x 0.8 x 8 inches,9.6 ounces,4.5 out of 5 stars
"The Girl in the Moon Hardcover – March 20, 2018",$22.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1510736417,Terry Goodkind,1510736417,,"Skyhorse Publishing (March 20, 2018)",English,6.5 x 1.5 x 9 inches,1.6 pounds,3.5 out of 5 stars
"The House of God Paperback – September 7, 2010",$12.84,Books > Humor & Entertainment > Humor,In Stock.,http://www.amazon.com/gp/product/0425238091,Samuel Shem,0425238091,400 pages,"Berkley; Reissue edition (September 7, 2010)",English,5.5 x 1 x 8.2 inches,11.2 ounces,4.4 out of 5 stars
"Gilead: A Novel Paperback – January 10, 2006",$9.84,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/031242440X,Marilynne Robinson,031242440X,247 pages,"Picador; Reprint edition (January 10, 2006)",English,5.4 x 0.8 x 8.3 inches,7.2 ounces,4.1 out of 5 stars
"The Great Divorce Paperback – Deckle Edge, April 21, 2015",$8.88,Books > Christian Books & Bibles > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/0060652950,C. S. Lewis,0060652950,160 pages,"HarperOne; Revised ed. edition (April 21, 2015)",English,5.3 x 0.4 x 8 inches,8.6 ounces,4.6 out of 5 stars
"Ishmael:A Novel Paperback – May 1, 1995",$12.23,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0553375407,Daniel Quinn,0553375407,263 pages,"Bantam; Reissue edition (May 1, 1995)",English,5.2 x 0.8 x 8 inches,4.8 ounces,4.6 out of 5 stars
"The Gender Game (Volume 1) Paperback – September 24, 2016",$13.49,Books > Teen & Young Adult > Science Fiction & Fantasy,In Stock.,http://www.amazon.com/gp/product/1535197722,Bella Forrest,1535197722,416 pages,"CreateSpace Independent Publishing Platform (September 24, 2016)",English,6 x 1 x 9 inches,1.7 pounds,4.4 out of 5 stars
"Roald Dahl Collection - 15 Paperback Book Boxed Set Paperback – Box set, 2013",,Books > Literature & Fiction > Short Stories & Anthologies,,http://www.amazon.com/gp/product/0141349980,Roald Dahl,0141349980,,Puffin Books; 15 Book Boxed Set edition (2013),English,5.3 x 7 x 8.1 inches,5.4 pounds,4.7 out of 5 stars
"Thesaurus Of Scales And Melodic Patterns Paperback – August 4, 2012",$29.66,Books > Literature & Fiction > Literary,In Stock.,http://www.amazon.com/gp/product/1258454165,Nicolas Slonimsky,1258454165,256 pages,"Literary Licensing, LLC (August 4, 2012)",English,8.5 x 0.5 x 11 inches,1.2 pounds,4.5 out of 5 stars
"The Deceivers (A John Wells Novel) Hardcover – February 6, 2018",$18.28,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0399176160,Alex Berenson,0399176160,,"G.P. Putnam's Sons (February 6, 2018)",English,6.3 x 1.4 x 9.4 inches,1.4 pounds,4.3 out of 5 stars
"Timeless: A Drizzt Novel Hardcover – September 18, 2018",$25.19,Books > Literature & Fiction > Genre Fiction,"This title will be released on September 18, 2018.",http://www.amazon.com/gp/product/0062688596,R. A. Salvatore,0062688596,,"Harper Voyager (September 18, 2018)",English,6 x 1.3 x 9 inches,1.4 pounds,
"In a Dark, Dark Wood Paperback – April 19, 2016",$8.80,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1501112333,Ruth Ware,1501112333,352 pages,"Gallery/Scout Press; Reprint edition (April 19, 2016)",English,5.3 x 0.9 x 8.2 inches,8.8 ounces,3.9 out of 5 stars
"Scalia Speaks: Reflections on Law, Faith, and Life Well Lived Hardcover – Deckle Edge, October 3, 2017",$20.01,Books > Politics & Social Sciences > Politics & Government,In Stock.,http://www.amazon.com/gp/product/0525573321,Antonin Scalia,0525573321,,"Crown Forum (October 3, 2017)",English,6.6 x 1.4 x 9.5 inches,1.4 pounds,4.8 out of 5 stars
"The World According to Mister Rogers: Important Things to Remember Hardcover – October 8, 2003",$11.80,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1401301061,Fred Rogers,1401301061,,"Hachette Books (October 8, 2003)",English,5.9 x 0.8 x 6.8 inches,9.6 ounces,4.8 out of 5 stars
"Ursula K. Le Guin: The Hainish Novels and Stories (Library of America) Hardcover – September 5, 2017",$48.56,Books > Science Fiction & Fantasy > Science Fiction,Usually ships within 2 to 4 weeks.,http://www.amazon.com/gp/product/1598535374,Ursula K. Le Guin,1598535374,,"Library of America; Box edition (September 5, 2017)",English,5.4 x 2.9 x 8.5 inches,3.6 pounds,5.0 out of 5 stars
"Overlord, Vol. 2 - light novel Hardcover – September 27, 2016",$16.02,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/031636391X,Kugane Maruyama,031636391X,,"Yen On (September 27, 2016)",English,5.8 x 1 x 8.8 inches,14.4 ounces,4.6 out of 5 stars
"Silver Surfer: Rebirth of Thanos Paperback – July 4, 2012",$20.83,Books > Comics & Graphic Novels > Graphic Novels,In Stock.,http://www.amazon.com/gp/product/0785166432,Jim Starlin,0785166432,224 pages,"Marvel (July 4, 2012)",English,6.8 x 0.5 x 10.2 inches,12.6 ounces,4.6 out of 5 stars
"The Art of Magic: The Gathering - Ixalan Hardcover – January 2, 2018",$25.46,Books > Arts & Photography > History & Criticism,In Stock.,http://www.amazon.com/gp/product/1421596571,James Wyatt,1421596571,,"VIZ Media LLC (January 2, 2018)",English,10 x 1 x 11.2 inches,3.9 pounds,5.0 out of 5 stars
"The Color of Magic (Discworld) Mass Market Paperback – January 29, 2013",$7.78,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/0062225677,Terry Pratchett,0062225677,288 pages,"Harper; Reissue edition (January 29, 2013)",English,4.2 x 0.6 x 7.5 inches,5.6 ounces,4.3 out of 5 stars
"The Core: Book Five of The Demon Cycle Hardcover – October 3, 2017",$18.00,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/0345531507,Peter V. Brett,0345531507,,"Del Rey (October 3, 2017)",English,6.4 x 1.9 x 9.5 inches,2.4 pounds,4.3 out of 5 stars
"The 10X Rule: The Only Difference Between Success and Failure Hardcover – April 26, 2011",$16.96,Books > Business & Money > Business Culture,In Stock.,http://www.amazon.com/gp/product/0470627603,Grant Cardone,0470627603,,"Wiley; 1 edition (April 26, 2011)",English,6.3 x 1 x 9.1 inches,1 pounds,4.6 out of 5 stars
"Force of Nature: A Novel Hardcover – February 6, 2018",$17.10,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1250105633,Jane Harper,1250105633,,"Flatiron Books; First Edition edition (February 6, 2018)",English,6.4 x 1.2 x 9.4 inches,1.1 pounds,4.2 out of 5 stars
"Twisted Prey (A Prey Novel) Hardcover – April 24, 2018",$20.30,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","This title will be released on April 24, 2018.",http://www.amazon.com/gp/product/0735217351,John Sandford,0735217351,,"G.P. Putnam's Sons (April 24, 2018)",English,6 x 1.2 x 9 inches,1.4 pounds,
"If I Live (If I Run Series) Paperback – March 6, 2018",$14.32,Books > Christian Books & Bibles > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/0310332540,Terri Blackstock,0310332540,352 pages,"Zondervan (March 6, 2018)",English,5.5 x 0.9 x 8.4 inches,10.9 ounces,4.9 out of 5 stars
"The Other Woman: A Novel (Gabriel Allon) Hardcover – July 17, 2018",$26.09,Books > Literature & Fiction > Action & Adventure,"This title will be released on July 17, 2018.",http://www.amazon.com/gp/product/0062834827,Daniel Silva,0062834827,,"Harper (July 17, 2018)",English,6 x 1.5 x 9 inches,1.4 pounds,
"Celtic Empire (Dirk Pitt Adventure) Hardcover – November 6, 2018",$26.10,Books > Literature & Fiction > Action & Adventure,"This title will be released on November 6, 2018.",http://www.amazon.com/gp/product/0735218994,Clive Cussler,0735218994,,"G.P. Putnam's Sons (November 6, 2018)",English,6 x 1.2 x 9 inches,1.4 pounds,
"Their Eyes Were Watching God Paperback – Deckle Edge, May 30, 2006",$11.24,Books > Literature & Fiction > United States,In Stock.,http://www.amazon.com/gp/product/0061120065,Zora Neale Hurston,0061120065,219 pages,"Harper Perennial Modern Classics; 1 edition (May 30, 2006)",English,5.5 x 0.6 x 8.2 inches,8 ounces,4.4 out of 5 stars
"The Husband's Secret Paperback – June 27, 2017",$7.48,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0451490045,Liane Moriarty,0451490045,496 pages,"Berkley; Premium edition (June 27, 2017)",English,4.2 x 1 x 7.5 inches,8.8 ounces,4.3 out of 5 stars
"I hope this reaches her in time Paperback – November 19, 2017",$5.70,Books > Literature & Fiction > Poetry,In Stock.,http://www.amazon.com/gp/product/1979772304,r.h. Sin,1979772304,72 pages,"CreateSpace Independent Publishing Platform (November 19, 2017)",English,5 x 0.2 x 8 inches,3.2 ounces,4.7 out of 5 stars
"Beartown: A Novel Paperback – February 6, 2018",$11.59,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/150116077X,Fredrik Backman,150116077X,432 pages,"Washington Square Press; Reprint edition (February 6, 2018)",English,5.3 x 1.1 x 8.2 inches,11.4 ounces,4.5 out of 5 stars
"Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey) Paperback – November 28, 2017",$9.25,Books > Literature & Fiction > Women's Fiction,In Stock.,http://www.amazon.com/gp/product/0385543913,E L James,0385543913,560 pages,"Vintage (November 28, 2017)",English,5.2 x 0.9 x 8 inches,1.9 pounds,4.7 out of 5 stars
"Exit West: A Novel Paperback – February 27, 2018",$11.56,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0735212201,Mohsin Hamid,0735212201,256 pages,"Riverhead Books; Reprint edition (February 27, 2018)",English,5.1 x 0.7 x 8 inches,8.2 ounces,4.0 out of 5 stars
"A Man Called Ove: A Novel Paperback – May 5, 2015",$9.61,Books > Literature & Fiction > Humor & Satire,In Stock.,http://www.amazon.com/gp/product/1476738025,Fredrik Backman,1476738025,337 pages,"Washington Square Press; Reprint edition (May 5, 2015)",English,5.3 x 1 x 8.2 inches,10.4 ounces,4.6 out of 5 stars
"The Silent Wife: A gripping emotional page turner with a twist that will take your breath away Paperback – February 24, 2017",$6.90,Books > Literature & Fiction > Literary,In Stock.,http://www.amazon.com/gp/product/1786811278,Kerry Fisher,1786811278,350 pages,"Bookouture (February 24, 2017)",English,5.1 x 0.8 x 7.8 inches,12.8 ounces,4.1 out of 5 stars
"Curse of Strahd: A Dungeons & Dragons Sourcebook (D&D Supplement) Hardcover – Unabridged, March 15, 2016",$35.05,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0786965983,Wizards RPG Team,0786965983,,"Wizards of the Coast; Har/Map edition (March 15, 2016)",English,8.5 x 0.7 x 11.2 inches,2.1 pounds,4.7 out of 5 stars
"Starfinder Roleplaying Game: Starfinder Core Rulebook Hardcover – August 17, 2017",$37.42,Books > Science Fiction & Fantasy > Gaming,In Stock.,http://www.amazon.com/gp/product/1601259565,James L. Sutter,1601259565,,"Paizo Inc.; Brdgm edition (August 17, 2017)",English,8.7 x 1.1 x 10.9 inches,3.7 pounds,3.7 out of 5 stars
"Never Let Me Go Paperback – March 14, 2006",$10.87,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1400078776,Kazuo Ishiguro,1400078776,288 pages,"Vintage (March 14, 2006)",English,5.2 x 0.7 x 8 inches,7.2 ounces,3.7 out of 5 stars
"Sleeping Beauties: A Novel Hardcover – September 26, 2017",$19.64,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/150116340X,Stephen KingOwen King,150116340X,,"Scribner; First Edition edition (September 26, 2017)",English,6.1 x 2.1 x 9.2 inches,2.6 pounds,4.0 out of 5 stars
"Killing Commendatore: A novel Hardcover – Deckle Edge, November 13, 2018",$27.00,Books > Literature & Fiction > Genre Fiction,"This title will be released on November 13, 2018.",http://www.amazon.com/gp/product/052552004X,Haruki Murakami,052552004X,,"Knopf (November 13, 2018)",English,6.2 x 1 x 9.2 inches,2.1 pounds,
"The Ultimate Hitchhiker's Guide to the Galaxy Paperback – April 30, 2002",$13.59,Books > Literature & Fiction > British & Irish,In Stock.,http://www.amazon.com/gp/product/0345453743,Douglas Adams,0345453743,832 pages,"Del Rey (April 30, 2002)",English,6.1 x 1.4 x 9.2 inches,1.7 pounds,4.5 out of 5 stars
"Hoard of the Dragon Queen (D&D Adventure) Hardcover – August 19, 2014",$18.81,Books > Science Fiction & Fantasy > Gaming,In Stock.,http://www.amazon.com/gp/product/0786965649,Wizards RPG Team,0786965649,,"Wizards of the Coast; 5th Edition edition (August 19, 2014)",English,8.6 x 0.5 x 11.1 inches,1.4 pounds,4.2 out of 5 stars
"The Martian Paperback – October 28, 2014",$10.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0553418025,Andy Weir,0553418025,387 pages,"Broadway Books; Reprint edition (October 28, 2014)",English,5.2 x 0.9 x 8.1 inches,12 ounces,4.7 out of 5 stars
"Lake Silence (World of the Others, The) Hardcover – March 6, 2018",$17.70,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0399587241,Anne Bishop,0399587241,,"Ace (March 6, 2018)",English,6.3 x 1.3 x 9.3 inches,1.4 pounds,4.8 out of 5 stars
"The Hitchhiker's Guide to the Galaxy Mass Market Paperback – September 27, 1995",$6.80,Books > Comics & Graphic Novels > Graphic Novels,In Stock.,http://www.amazon.com/gp/product/0345391802,Douglas Adams,0345391802,224 pages,"Del Rey; First Edition edition (September 27, 1995)",English,4.2 x 0.6 x 6.9 inches,1.6 ounces,4.5 out of 5 stars
"Broken Angels: A Novel (Takeshi Kovacs) Paperback – March 2, 2004",$14.40,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0345457714,Richard K. Morgan,0345457714,384 pages,"Del Rey; 1st, First American Edition, Cover Torn edition (March 2, 2004)",English,6 x 0.8 x 9.2 inches,14.4 ounces,3.9 out of 5 stars
"Red Rising Paperback – July 15, 2014",$10.20,Books > Science Fiction & Fantasy > Science Fiction,In Stock.,http://www.amazon.com/gp/product/034553980X,Pierce Brown,034553980X,416 pages,Del Rey; Reprint edition (2014),English,5.5 x 0.9 x 8.2 inches,9.6 ounces,4.6 out of 5 stars
"The Tuscan Child Paperback – February 20, 2018",$10.37,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1503951812,Rhys Bowen,1503951812,352 pages,"Lake Union Publishing (February 20, 2018)",English,5.5 x 1 x 8.2 inches,12 ounces,4.4 out of 5 stars
"To Die but Once: A Maisie Dobbs Novel Hardcover – March 27, 2018",$18.29,Books > Literature & Fiction > Genre Fiction,"This title will be released on March 27, 2018.",http://www.amazon.com/gp/product/0062436635,Jacqueline Winspear,0062436635,,"Harper (March 27, 2018)",English,6 x 1.1 x 9 inches,1.2 pounds,5.0 out of 5 stars
"Shelter in Place Hardcover – May 29, 2018",$17.03,Books > Literature & Fiction > Genre Fiction,"This title will be released on May 29, 2018.",http://www.amazon.com/gp/product/1250161592,Nora Roberts,1250161592,,"St. Martin's Press (May 29, 2018)",English,6.1 x 9.2 inches,1.7 pounds,
"The Hush: A Novel Hardcover – February 27, 2018",$19.03,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1250012309,John Hart,1250012309,,"St. Martin's Press (February 27, 2018)",English,6.4 x 1.3 x 9.5 inches,1.4 pounds,3.7 out of 5 stars
"Dark in Death: An Eve Dallas Novel (In Death, Book 46) Hardcover – January 30, 2018",$18.25,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1250161533,J. D. Robb,1250161533,,"St. Martin's Press (January 30, 2018)",English,6.1 x 1.2 x 9.2 inches,1.3 pounds,4.5 out of 5 stars
"Camino Island: A Novel Mass Market Paperback – March 6, 2018",$7.79,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1524797154,John Grisham,1524797154,368 pages,"Dell; Reprint edition (March 6, 2018)",English,4.2 x 0.9 x 7.6 inches,6.7 ounces,3.9 out of 5 stars
"Agent in Place (Gray Man) Hardcover – February 20, 2018",$20.42,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/0451488903,Mark Greaney,0451488903,,"Berkley (February 20, 2018)",English,6.4 x 1.6 x 9.4 inches,1.6 pounds,4.7 out of 5 stars
"All Your Perfects: A Novel Paperback – July 17, 2018",$11.14,Books > Literature & Fiction > Genre Fiction,"This title will be released on July 17, 2018.",http://www.amazon.com/gp/product/1501193325,Colleen Hoover,1501193325,384 pages,"Atria Books (July 17, 2018)",English,5.3 x 8.2 inches,1.1 pounds,
"Chicago: A Novel Hardcover – February 27, 2018",$17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0062797190,David Mamet,0062797190,,"Custom House; 1st Edition edition (February 27, 2018)",English,6 x 1.1 x 9 inches,1.1 pounds,2.6 out of 5 stars
"The Terminal List: A Thriller Hardcover – March 6, 2018",$17.10,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1501180819,Jack Carr,1501180819,,"Atria/Emily Bestler Books (March 6, 2018)",English,6 x 1.2 x 9 inches,1.3 pounds,4.9 out of 5 stars
"Between the World and Me Hardcover – July 14, 2015",$13.91,Books > Politics & Social Sciences > Sociology,In Stock.,http://www.amazon.com/gp/product/0812993543,Ta-Nehisi Coates,0812993543,,"Spiegel & Grau; 1 edition (July 14, 2015)",English,5.2 x 0.7 x 7.6 inches,8.8 ounces,4.6 out of 5 stars
"Where the Sidewalk Ends: Poems and Drawings Hardcover – February 18, 2014",$13.59,Books > Children's Books > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/0060256672,Shel Silverstein,0060256672,,"HarperCollins; 1st edition (February 18, 2014)",English,6.8 x 0.9 x 8.8 inches,1.2 pounds,4.9 out of 5 stars
"The Left Hand of Darkness Mass Market Paperback – March 15, 1987",$8.99,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/0441478123,Ursula K. Le Guin,0441478123,304 pages,"Ace Books; 1st edition (March 15, 1987)",English,4.2 x 0.9 x 7.5 inches,5.6 ounces,4.2 out of 5 stars
"Storm King's Thunder (Dungeons & Dragons) Hardcover – September 6, 2016",$33.10,Books > Science Fiction & Fantasy > Gaming,In Stock.,http://www.amazon.com/gp/product/0786966009,Wizards RPG Team,0786966009,,"Wizards of the Coast (September 6, 2016)",English,8.5 x 0.7 x 11.1 inches,3 pounds,4.5 out of 5 stars
"The Book of Dust: La Belle Sauvage (Book of Dust, Volume 1) Hardcover – Deckle Edge, October 19, 2017",$13.88,Books > Teen & Young Adult > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/0375815309,Philip Pullman,0375815309,,"Knopf Books for Young Readers; First Edition edition (October 19, 2017)",English,6.7 x 1.4 x 9.3 inches,1.8 pounds,4.4 out of 5 stars
"Do Androids Dream of Electric Sheep?: The inspiration for the films Blade Runner and Blade Runner 2049 Paperback – May 28, 1996",$12.69,Books > Comics & Graphic Novels > Graphic Novels,In Stock.,http://www.amazon.com/gp/product/0345404475,Philip K. Dick,0345404475,240 pages,"Del Rey (May 28, 1996)",English,5.5 x 0.5 x 8.2 inches,6.4 ounces,4.3 out of 5 stars
"The Fifth Season (The Broken Earth) Paperback – August 4, 2015",$12.31,Books > Literature & Fiction > Women's Fiction,In Stock.,http://www.amazon.com/gp/product/0316229296,N. K. Jemisin,0316229296,512 pages,"Orbit (August 4, 2015)",English,5.4 x 1.2 x 8.2 inches,12.6 ounces,4.4 out of 5 stars
"Dune Mass Market Paperback – Unabridged, September 1, 1990",$8.99,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/0441172717,Frank Herbert,0441172717,896 pages,"Ace (September 1, 1990)",English,4.2 x 1.8 x 7.6 inches,1 pounds,4.5 out of 5 stars
"Thrawn: Alliances (Star Wars) Hardcover – July 24, 2018",$18.89,Books > Literature & Fiction > Genre Fiction,"This title will be released on July 24, 2018.",http://www.amazon.com/gp/product/052548048X,Timothy Zahn,052548048X,,"Del Rey (July 24, 2018)",English,6.1 x 0.8 x 9.2 inches,1.2 pounds,
"The Name of the Wind Mass Market Paperback – April 1, 2008",$9.94,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/0756404746,Patrick Rothfuss,0756404746,722 pages,"DAW Books (April 1, 2008)",English,4.2 x 1.5 x 6.8 inches,12 ounces,4.6 out of 5 stars
"American Gods: A Novel Paperback – March 28, 2017",$10.50,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/0062572237,Neil Gaiman,0062572237,576 pages,"William Morrow Paperbacks; Anniversary, Media Tie In edition (March 28, 2017)",English,5.3 x 0.9 x 8 inches,15.2 ounces,4.3 out of 5 stars
"Mistborn Trilogy Boxed Set (Mistborn, The Hero of Ages, & The Well of Ascension) Mass Market Paperback – November 3, 2009",$18.09,Books > Science Fiction & Fantasy > Fantasy,In Stock.,http://www.amazon.com/gp/product/076536543X,Brandon Sanderson,076536543X,,"Tor Fantasy; Box edition (November 3, 2009)",English,4.2 x 3.7 x 6.9 inches,2.4 pounds,4.6 out of 5 stars
"D&D DUNGEON TILES REINCARNATED: DUNGEON Game – January 23, 2018",$18.04,Books > Science Fiction & Fantasy > Gaming,In Stock.,http://www.amazon.com/gp/product/0786966300,Wizards RPG Team,0786966300,,"Wizards of the Coast; Brdgm edition (January 23, 2018)",English,9.1 x 2.2 x 12 inches,3.6 pounds,4.3 out of 5 stars
"The Sixth Day (A Brit in the FBI) Hardcover – April 10, 2018",$16.78,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","This title will be released on April 10, 2018.",http://www.amazon.com/gp/product/1501138170,Catherine CoulterJ.T. Ellison,1501138170,,"Gallery Books (April 10, 2018)",English,6 x 9 inches,1.7 pounds,
"The Woman Left Behind: A Novel Hardcover – March 6, 2018",$17.70,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0062419013,Linda Howard,0062419013,,"William Morrow (March 6, 2018)",English,6 x 1.2 x 9 inches,1.2 pounds,4.5 out of 5 stars
"The Dry: A Novel Paperback – January 2, 2018",$10.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1250105625,Jane Harper,1250105625,352 pages,"Flatiron Books; Reprint edition (January 2, 2018)",English,5.6 x 1 x 8.2 inches,10.4 ounces,4.3 out of 5 stars
"Need to Know: A Novel Hardcover – January 23, 2018",$16.47,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1524797022,Karen Cleveland,1524797022,,"Ballantine Books (January 23, 2018)",English,6.4 x 1.1 x 9.5 inches,1.2 pounds,4.4 out of 5 stars
"What Alice Forgot Paperback – April 24, 2012",$9.59,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0425247449,Liane Moriarty,0425247449,488 pages,"Berkley Books; Reprint edition (April 24, 2012)",English,5.4 x 1.1 x 8.2 inches,14.4 ounces,4.4 out of 5 stars
"Ordinary Grace Paperback – March 4, 2014",$9.01,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1451645856,William Kent Krueger,1451645856,336 pages,"Atria Books; Reprint edition (March 4, 2014)",English,5.3 x 0.9 x 8.2 inches,9.6 ounces,4.6 out of 5 stars
"The Temptation of Forgiveness: A Commissario Guido Brunetti Mystery Hardcover – March 20, 2018",$23.40,"Books > Mystery, Thriller & Suspense > Mystery","This title will be released on March 20, 2018.",http://www.amazon.com/gp/product/0802127754,Donna Leon,0802127754,,"Atlantic Monthly Press (March 20, 2018)",English,6.2 x 1.2 x 9.2 inches,1.1 pounds,
"Tell Me I'm Wrong: A gripping psychological thriller with a killer twist Paperback – January 18, 2018",$9.89,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1912599007,Adam Croft,1912599007,274 pages,"Circlehouse (January 18, 2018)",English,5.2 x 0.7 x 8 inches,12.6 ounces,4.2 out of 5 stars
"House of Leaves Paperback – March 7, 2000",$15.18,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0375703764,Mark Z. Danielewski,0375703764,709 pages,"Pantheon; 2nd edition (March 7, 2000)",English,7 x 1.4 x 9.2 inches,2.2 pounds,4.1 out of 5 stars
"Munich: A novel Hardcover – Deckle Edge, January 16, 2018",$18.27,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/0525520260,Robert Harris,0525520260,,"Knopf; 1st Edition edition (January 16, 2018)",English,6.6 x 1.1 x 9.5 inches,1.3 pounds,4.1 out of 5 stars
"City of Endless Night (Agent Pendergast series) Hardcover – January 16, 2018",$19.04,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1455536946,Douglas Preston,1455536946,,"Grand Central Publishing; 1 edition (January 16, 2018)",English,6.5 x 1.2 x 9.4 inches,1.2 pounds,4.3 out of 5 stars
"The Walking Dead Volume 29: Lines We Cross Paperback – March 13, 2018",$13.03,Books > Comics & Graphic Novels > Graphic Novels,In Stock.,http://www.amazon.com/gp/product/1534304975,Robert KirkmanCliff Rathburn,1534304975,136 pages,"Image Comics (March 13, 2018)",English,6.4 x 0.5 x 10.1 inches,9.9 ounces,4.8 out of 5 stars
"The House of Broken Angels Hardcover – March 6, 2018",$17.70,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0316154881,Luis Alberto Urrea,0316154881,,"Little, Brown and Company; 1st Edition edition (March 6, 2018)",English,6.6 x 1.1 x 9.8 inches,1.2 pounds,4.6 out of 5 stars
