Name,Sale Price,Category,Availability,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Out of the Darkness (The Finnegan Connection) Mass Market Paperback – January 16, 2018",$5.07,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1335526161,Heather Graham,1335526161,256 pages,"Harlequin Intrigue (January 16, 2018)",English,4.2 x 0.7 x 6.6 inches,4.6 ounces,4.0 out of 5 stars
"No Other Duke Will Do (Windham Brides) Mass Market Paperback – November 7, 2017",$5.36,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/145557001X,Grace Burrowes,145557001X,368 pages,"Forever (November 7, 2017)",English,4.2 x 1 x 6.8 inches,5 ounces,4.4 out of 5 stars
"The Gift: The Amish of Hart County Paperback – November 7, 2017",$8.26,Books > Christian Books & Bibles > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/0062469142,Shelley Shepard Gray,0062469142,272 pages,"Avon Inspire (November 7, 2017)",English,5.3 x 0.6 x 8 inches,7 ounces,4.6 out of 5 stars
"When Calls the Heart: Hallmark Channel Special Movie Edition (Canadian West) Paperback – October 1, 2013",$11.77,Books > Christian Books & Bibles > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/076421229X,Janette Oke,076421229X,224 pages,"Bethany House Publishers; Movie ed. edition (October 1, 2013)",English,6.3 x 0.6 x 10.2 inches,8.8 ounces,4.5 out of 5 stars
"Shattered Memories (The Mirror Sisters Series) Mass Market Paperback – October 31, 2017",$7.19,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1476792380,V.C. Andrews,1476792380,432 pages,"Pocket Books; Reissue edition (October 31, 2017)",English,4.1 x 1 x 6.8 inches,7 ounces,4.4 out of 5 stars
"Flight of the White Wolf Mass Market Paperback – March 6, 2018",$6.47,Books > Literature & Fiction > United States,In Stock.,http://www.amazon.com/gp/product/1492655783,Terry Spear,1492655783,352 pages,"Sourcebooks Casablanca (March 6, 2018)",English,4.2 x 1.1 x 6.8 inches,5.9 ounces,3.9 out of 5 stars
"Shadows in the Night (The Finnegan Connection) Mass Market Paperback – October 17, 2017",$4.31,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1335721312,Heather Graham,1335721312,256 pages,"Harlequin Intrigue (October 17, 2017)",English,4.2 x 0.6 x 6.6 inches,4.3 ounces,4.2 out of 5 stars
"Beauty's Kingdom: A Novel in the Sleeping Beauty Series Paperback – April 19, 2016",$14.96,Books > Literature & Fiction > Erotica,In Stock.,http://www.amazon.com/gp/product/0143108212,Anne Rice,0143108212,448 pages,"Penguin Books; Reprint edition (April 19, 2016)",English,4.8 x 1.1 x 8 inches,12 ounces,4.0 out of 5 stars
"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia Paperback – June 29, 2010",$8.15,Books > Travel > Asia,In Stock.,http://www.amazon.com/gp/product/0143118420,Elizabeth Gilbert,0143118420,352 pages,"Riverhead Books; Reissue edition (June 29, 2010)",English,5.4 x 0.7 x 8.4 inches,9.6 ounces,4.2 out of 5 stars
"The Prophecy (A Titan Novel) (Volume 4) Paperback – March 20, 2018",$13.99,Books > Romance > Paranormal,"This title will be released on March 20, 2018.",http://www.amazon.com/gp/product/194759172X,Jennifer L. Armentrout,194759172X,356 pages,"Jennifer L. Armentrout (March 20, 2018)",English,5.2 x 0.9 x 8 inches,1.1 pounds,
"The Sea of Tranquility: A Novel Paperback – June 4, 2013",$14.29,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1476730946,Katja Millay,1476730946,448 pages,"Atria Books; Reprint edition (June 4, 2013)",English,5.3 x 1.3 x 8.2 inches,12.6 ounces,4.7 out of 5 stars
"Shadowfever (Fever Series Book 5) Mass Market Paperback – August 30, 2011",$7.19,Books > Science Fiction & Fantasy > Fantasy,Ships when available in 1-2 days.,http://www.amazon.com/gp/product/0440244412,Karen Marie Moning,0440244412,704 pages,"Dell; Reprint edition (August 30, 2011)",English,4.2 x 1.5 x 6.9 inches,12 ounces,4.7 out of 5 stars
"Bread of Angels Paperback – June 6, 2017",$9.17,Books > Christian Books & Bibles > Literature & Fiction,In Stock.,http://www.amazon.com/gp/product/1496406478,Tessa Afshar,1496406478,416 pages,"Tyndale House Publishers, Inc. (June 6, 2017)",English,5.3 x 1.1 x 8 inches,2.4 ounces,4.7 out of 5 stars
"Black Obsidian (Volume 1) Paperback – March 7, 2017",$12.35,Books > Romance > Contemporary,In Stock.,http://www.amazon.com/gp/product/1543281559,Victoria Quinn,1543281559,432 pages,"CreateSpace Independent Publishing Platform (March 7, 2017)",English,5.2 x 1 x 8 inches,1.2 pounds,4.6 out of 5 stars
"My Youth Romantic Comedy Is Wrong, As I Expected, Vol. 2 - light novel Paperback – May 23, 2017",$11.97,Books > Comics & Graphic Novels > Graphic Novels,In Stock.,http://www.amazon.com/gp/product/031639601X,Wataru Watari,031639601X,208 pages,"Yen On (May 23, 2017)",English,5.8 x 0.8 x 8.2 inches,13.4 ounces,4.7 out of 5 stars
"Seduction of a Proper Gentleman (Superior Collection) Paperback – Large Print, February 18, 2009",$5.68,Books > Literature & Fiction > United States,,http://www.amazon.com/gp/product/1597229180,Victoria Alexander,1597229180,419 pages,"Kennebec Large Print; Large Print edition (February 18, 2009)",English,6 x 0.8 x 8.5 inches,1.1 pounds,3.7 out of 5 stars
"Autoboyography Hardcover – September 12, 2017",$13.29,"Books > Reference > Writing, Research & Publishing Guides",In Stock.,http://www.amazon.com/gp/product/1481481681,Christina Lauren,1481481681,416 pages,"Simon & Schuster Books for Young Readers (September 12, 2017)",English,5.5 x 1.3 x 8.2 inches,1.1 pounds,4.8 out of 5 stars
"Up In Smoke: A King Series Novel Paperback – February 16, 2018",$14.99,Books > Romance > Romantic Suspense,In Stock.,http://www.amazon.com/gp/product/1985001209,T.M. Frazier,1985001209,358 pages,"CreateSpace Independent Publishing Platform (February 16, 2018)",English,5.5 x 0.8 x 8.5 inches,1.2 pounds,4.8 out of 5 stars
