Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
"The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback – September 25, 2012",$22.99 ,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,1728 pages,"Del Rey (September 25, 2012)",English,4.2 x 4.3 x 7 inches,4.7 out of 5 stars
"High Voltage (Fever) Hardcover – March 6, 2018",$18.30 ,Books > Science Fiction & Fantasy > Fantasy,Karen Marie Moning,,"Delacorte Press (March 6, 2018)",English,6.2 x 1.5 x 9.5 inches,4.7 out of 5 stars
"Oathbringer: Book Three of the Stormlight Archive Hardcover – November 14, 2017",$21.21 ,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,,"Tor Books (November 14, 2017)",English,6.4 x 2.3 x 9.6 inches,4.6 out of 5 stars
"Dungeons & Dragons Starter Set Book Supplement – July 15, 2014",$16.97 ,Books > Humor & Entertainment > Puzzles & Games,Wizards RPG Team,,"Wizards of the Coast; Brdgm edition (July 15, 2014)",English,9.1 x 2.1 x 11.6 inches,4.5 out of 5 stars
"Chronicles of Narnia Box Set Paperback – Box set, October 19, 2010",$30.64 ,Books > Children's Books > Science Fiction & Fantasy,C. S. Lewis,,"HarperCollins Narnia; Media Tie In edition (October 19, 2010)",English,4.3 x 4.3 x 7 inches,4.7 out of 5 stars
"Brave New World Paperback – October 17, 2006",$12.99 ,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,288 pages,"Harper Perennial; Reprint edition (October 18, 2006)",English,5.3 x 0.6 x 8 inches,4.2 out of 5 stars
"Sword Coast Adventurer's Guide (D&D Accessory) Hardcover – November 3, 2015",$29.29 ,Books > Humor & Entertainment > Puzzles & Games,Wizards RPG Team,,"Wizards of the Coast (November 3, 2015)",English,8.5 x 0.5 x 11.2 inches,4.0 out of 5 stars
"The Shape of Water Hardcover – March 6, 2018",$18.59 ,Books > Literature & Fiction > Genre Fiction,Daniel Kraus,,"Feiwel & Friends (March 6, 2018)",English,6.4 x 1.1 x 9.2 inches,3.8 out of 5 stars
"Saga Volume 8 Paperback – January 2, 2018",$9.64 ,Books > Science Fiction & Fantasy > Science Fiction,Brian K Vaughan,152 pages,"Image Comics (January 2, 2018)",English,6.4 x 0.5 x 10 inches,4.5 out of 5 stars
"Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels) Paperback – January 12, 1999",$11.39 ,Books > Literature & Fiction > Genre Fiction,Kurt Vonnegut,288 pages,"Dial Press Trade Paperback; Reissue edition (January 12, 1999)",English,5.3 x 0.7 x 8 inches,4.2 out of 5 stars
"Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series) Hardcover – January 16, 2018",$19.04 ,Books > Literature & Fiction > Action & Adventure,Pierce Brown,,"Del Rey (January 16, 2018)",English,6.5 x 1.6 x 9.5 inches,4.4 out of 5 stars
"Animal Farm: 1984 Hardcover – June 1, 2003",$13.59 ,Books > Humor & Entertainment > Humor,George Orwell,,"Houghton Mifflin Harcourt; 1 edition (June 1, 2003)",English,5.5 x 1.2 x 8.2 inches,4.5 out of 5 stars
"It: A Novel Paperback – September 5, 2017",$12.22 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1184 pages,"Scribner; Media Tie-In edition (September 5, 2017)",English,5.5 x 2.4 x 8.4 inches,4.5 out of 5 stars
"The Alienist (TNT Tie-in Edition): A Novel Paperback – November 21, 2017",$10.70 ,Books > Literature & Fiction > Genre Fiction,Caleb Carr,512 pages,"Random House Trade Paperbacks; Media Tie In edition (November 21, 2017)",English,5.2 x 1.1 x 7.9 inches,4.4 out of 5 stars
"The Couple Next Door: A Novel Paperback – May 30, 2017",$12.80 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,336 pages,"Penguin Books; Reprint edition (May 30, 2017)",English,5.2 x 0.6 x 8 inches,4.1 out of 5 stars
"Night Moves: An Alex Delaware Novel Hardcover – February 13, 2018",$18.26 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jonathan Kellerman,,"Ballantine Books (February 13, 2018)",English,6.4 x 1.2 x 9.6 inches,4.4 out of 5 stars
"The Disappeared (A Joe Pickett Novel) Hardcover – March 27, 2018",$17.70 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",C. J. Box,,"G.P. Putnam's Sons (March 27, 2018)",English,6.4 x 1.3 x 9.3 inches,
"Sunburn: A Novel Hardcover – February 20, 2018",$17.70 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Laura Lippman,,"William Morrow (February 20, 2018)",English,6 x 1 x 9 inches,4.2 out of 5 stars
"Look for Me (D. D. Warren) Hardcover – February 6, 2018",$16.56 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,,"Dutton (February 6, 2018)",English,6.3 x 1.3 x 9.3 inches,4.3 out of 5 stars
"The Flight Attendant: A Novel Hardcover – March 13, 2018",$16.20 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Chris Bohjalian,,"Doubleday (March 13, 2018)",English,6.5 x 1.5 x 9.5 inches,4.3 out of 5 stars
