Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
The Rise of Endymion,$8.34 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Simmons, Dan",720,Random House,English,6.75 x 4.25 x 1.25 Inches,
The Last Herald-Mage Trilogy,$15.05 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Mercedes Lackey,880,DAW,,8.99 x 5.97 x 1.81 Inches (US),
15TH AFFAIR,$8.58 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",James PattersonMaxine Paetro,400,Grand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),
Star Wars,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"Traviss, Karen",304,Random House,English,7.00 x 4.25 x 0.75 Inches,
Sea of Sorrows,$7.99 ,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Moore, James A.",351,Random House,English,7.00 x 4.25 x 1.00 Inches,
NINE DRAGONS,$9.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",Michael Connelly,480,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),3
Kris Longknife: Redoubtable,$8.76 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Shepherd, Mike",328,Berkley Pub Group,English,6.75 x 4.25 x 1.00 Inches,
"SINNER: A RIZZOLI&ISLES NOVEL, THE",$9.85 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GERRITSEN, TESS",432,Random House,English,7.75 x 4.25 x 1.25 Inches,
Starship Troopers,$13.60 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Robert A. Heinlein,288,AcePenguin Publishing Group,English,,
I Am Not a Serial Killer,$9.79 ,Books > Literature & Fiction > Fiction > Horror,Dan Wells,272,Tom Doherty AssociatesTor Books,English,8.23 x 140.21 x 0.76 Inches (US),
The Heat Islands,$8.24 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 30914 >  > in > Books > # > 394 >  > in > Books > Mystery & Suspense > # > 74 >  > in > Books > Mystery & Suspense > General",Randy Wayne White,320,St. Martin's PressSt. Martin's Paperbacks,English,174.50 x 4.26 x 21.84 Millimeters,
Playing Dead,$7.35 ,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 37734 >  > in > Books > # > 57 >  > in > Books > New Releases > # > 54 >  > in > Books > New Releases > New & Noteworthy,"Brennan, Allison",472,Random House,English,6.75 x 4.25 x 1.00 Inches,
Joust : Joust #1,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,Mercedes Lackey,448,DAW,English,6.65 x 4.24 x 1.19 Inches (US),
The Grapes of Wrath,$10.15 ,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 2480 >  > in > Books > # > 184 >  > in > Books > Literature & Fiction > # > 13 >  > in > Books > Literature & Fiction > Classics,John Steinbeck,528,Penguin ClassicsPenguin Publishing Group,English,,4.5
A Shiver of Light,$7.19 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary > Best seller ranking: > # > 6878 >  > in > Books > # > 609 >  > in > Books > Literature & Fiction > # > 49 >  > in > Books > Literature & Fiction > Fantasy,"Hamilton, Laurell K.",400,Berkley Pub Group,English,7.00 x 4.25 x 1.25 Inches,
"SLEEPWALKER: A NOVEL, THE",$12.83 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological","BOHJALIAN, CHRIS",304,Random House Inc,English,8.00 x 5.25 x 0.50 Inches,
WALLBANGER,$12.60 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,Alice Clayton,384,Gallery Books,English,8.25 x 5.31 x 1.20 Inches (US),
The Queen of Swords,$7.49 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,R. S. Belcher,368,Tom Doherty AssociatesTor Books,English,239.27 x 6.47 x 1.25 Millimeters,
